asin,product_title,product_price,product_original_price,product_star_rating,product_num_ratings,is_amazon_choice,is_best_seller,sales_volume,discount,brand,product_url,date,week,unit_price,sub_category_name,rank,product_photo
B07XRSC5WZ,"Advion Ant Gel Bait, 4 Tubes x 30-Grams, 1 Plunger and 2 Tips, Effective Ant Bait, Formulated with 0.05% Indoxacarb, Indoor and Outdoor Use, Ant Killer Gel for Control of Most Major Ant Species",39.55,,4.6,2997,TRUE,FALSE,1K+ bought in past month,,Syngenta,https://www.amazon.com/dp/B07XRSC5WZ,2025-09-25,39,N/A,Pest Control Baits & Lures,94,
B09F7Q9VSS,"Terro T502 Ready-to-Use Indoor Cockroach Gel Bait Killer - Kills German, American, Oriental Roaches, 3 oz",15.98,,4.2,6078,TRUE,FALSE,3K+ bought in past month,,Terro,https://www.amazon.com/dp/B09F7Q9VSS,2025-09-25,39,N/A,Pest Control Baits & Lures,43,
B0BMNZBHG1,Atticus Savitri Ant Gel Bait (4 x 30 Grams) - Indoor and Outdoor Use - Indoxacarb Ant Killer,32.99,34.99,4.3,1639,FALSE,FALSE,2K+ bought in past month,5.72,Atticus,https://www.amazon.com/dp/B0BMNZBHG1,2025-09-25,39,N/A,Pest Control Baits & Lures,53,
B006AU57W0,Vendetta Roach Gel Bait Insecticide - 4 Tubes x 30gms MGK1003,32.95,32.75,4.6,5898,TRUE,FALSE,3K+ bought in past month,,Valentino,https://www.amazon.com/dp/B006AU57W0,2025-09-25,39,N/A,Pest Control Baits & Lures,51,
B0D9PPG39W,"Roach Gel Bait Indoor and Outdoor: Cockroach Killer Repellents for German Cockroaches, Small Roaches – Cockroach Deterrent for Homes and Kitchens – Pet Safe Roach Control 4-Tubes",22.99,29.99,4.4,205,FALSE,FALSE,600+ bought in past month,23.34,Visismile,https://www.amazon.com/dp/B0D9PPG39W,2025-09-25,39,N/A,Pest Control Baits & Lures,126,
B0DMVR83MW,Roach Killer Indoor Infestation for Home(4 PCS) - German Cockroach Killer with 99% Efficacy (97% USA) - Cockroach Gel Bait Syringes - Fipronil 0.05% - Get Fast Results,29.95,,4.2,90,TRUE,FALSE,700+ bought in past month,,KB Roach Bait Gel,https://www.amazon.com/dp/B0DMVR83MW,2025-09-25,39,N/A,Pest Control Baits & Lures,168,
B0148W0WOE,"Advion Cockroach Gel Bait, 4 Tubes x 30-Grams, 1 Plunger and 2 Tips, German Roach Insect Pest Control, Indoor and Outdoor Use, Roach Killer Gel for American, German and Other Major Cockroach Species",24.06,35,4.6,53692,TRUE,FALSE,60K+ bought in past month,31.26,Syngenta,https://www.amazon.com/dp/B0148W0WOE,2025-09-25,39,N/A,Pest Control Baits & Lures,2,
B00730QW70,"Advion Cockroach Gel Bait, 4 Tubes x 30-Grams, 4 Plunger and 4 Tips, German Roach Insect Pest Control, Indoor and Outdoor Use, Roach Killer Gel for American, German and Other Major Cockroach Species",26.69,35,4.6,66589,TRUE,FALSE,20K+ bought in past month,23.74,Advion,https://www.amazon.com/dp/B00730QW70,2025-09-25,39,N/A,Pest Control Baits & Lures,5,https://m.media-amazon.com/images/I/71sGQGrxynL._AC_SL1500_.jpg
B08C3PPYSV,"Advion Ant Gel Bait, 1 30-Gram Tube, 1 Plunger and 1 Tip, Effective Bait, Formulated with 0.05% Indoxacarb, Indoor and Outdoor Use, Killer Gel for Control of Most Major Ant Species",13.49,16.99,4.5,5944,TRUE,FALSE,10K+ bought in past month,20.6,Syngenta,https://www.amazon.com/dp/B08C3PPYSV,2025-09-25,39,N/A,Pest Control Baits & Lures,15,https://m.media-amazon.com/images/I/61Bn7VLcqKL._AC_SL1500_.jpg
B000QRAXSG,"Combat Max Roach Killing Gel for Indoor and Outdoor Use, 1 Syringe, 2.1 Ounce (Pack of 1)",8.84,,4.3,26582,TRUE,FALSE,10K+ bought in past month,,Combat,https://www.amazon.com/dp/B000QRAXSG,2025-09-25,39,$4.21,Pest Control Products,52,https://m.media-amazon.com/images/I/71fvTBX9NnL._AC_SL1500_.jpg
B07XRSC5WZ,"Advion Ant Gel Bait, 4 Tubes x 30-Grams, 1 Plunger and 2 Tips, Effective Ant Bait, Formulated with 0.05% Indoxacarb, Indoor and Outdoor Use, Ant Killer Gel for Control of Most Major Ant Species",39.55,,4.6,2997,TRUE,FALSE,1K+ bought in past month,,Syngenta,https://www.amazon.com/dp/B07XRSC5WZ,2025-09-25,39,N/A,Pest Control Baits & Lures,94,https://m.media-amazon.com/images/I/61rAtFhUXmL._AC_SL1440_.jpg
B09F7Q9VSS,"Terro T502 Ready-to-Use Indoor Cockroach Gel Bait Killer - Kills German, American, Oriental Roaches, 3 oz",15.98,,4.2,6078,TRUE,FALSE,3K+ bought in past month,,Terro,https://www.amazon.com/dp/B09F7Q9VSS,2025-09-25,39,N/A,Pest Control Baits & Lures,43,https://m.media-amazon.com/images/I/71EmyMxxdqL._AC_SL1500_.jpg
B0BMNZBHG1,Atticus Savitri Ant Gel Bait (4 x 30 Grams) - Indoor and Outdoor Use - Indoxacarb Ant Killer,32.99,34.99,4.3,1639,FALSE,FALSE,2K+ bought in past month,5.72,Atticus,https://www.amazon.com/dp/B0BMNZBHG1,2025-09-25,39,N/A,Pest Control Baits & Lures,53,https://m.media-amazon.com/images/I/71aXNsd32jL._SL1500_.jpg
